college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
​Central Department of Anthropology | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,MA in Anthropology (MA Anthropology) MPhil in Anthropology PhD in Anthropology,constituent Institution,01-4334832,,34,2,515
Public Administration Campus,"Balkhu, Kathmandu",Tribhuvan University,Bachelor of Public Administration (BPA) Master of Public Administration (MPA) MPhil in Public Administration,constituent Institution,977-1-4673011,info@cdpa.edu.np,34,2,54
Pokhara Campus | Institute of Forestry,"Hariyokharka, Pokhara, Pokhara Lekhnath, Kaski",Tribhuvan University,PhD in Forestry MSc in Forestry MSc in Natural Resource Management and Rural Development MSc in Watershed Management BSc Forestry MSc Community Forestry,constituent Institution,"061-430469, 061-431689",info@iof.edu.np,34,2,400
Hetauda Campus | Institute of Forestry,"Hetauda, Makwanpur",Tribhuvan University,BSc Forestry MSc in Forestry,constituent Institution,"057-520453, 057-520841",,34,2,406
PAHS School of Nursing  (Lalitpur Nursing Campus),"Sanepa, Lalitpur",Patan Academy of Health Sciences,Bachelors in Midwifery Science Master in Nursing Bachelor of Nursing Science (BNS) ​BSc Nursing,constituent Institution,"977-1-5521634, 01-5526490",info@lnc.edu.np,27,2,808
Ratna Rajya Laxmi Campus,"Pradashani Marga, Kathmandu",Tribhuvan University,MA in Nepali (MA Nepali) MA in English (MA English) MA in Sociology MA in Journalism and Mass Communication MA in Population Studies Bachelor of Arts (BA) MA in Economics (MA Economics) Bachelor of Computer Application (BCA) Master of Arts in Nepal Bhasa,constituent Institution,01-4230084  01-4225819,info@ratnarajyalaxmicampus.edu.np,34,2,730
Central Department of Education | Tribhuvan University,"Kirtipur, Kirtipur, Kathmandu",Tribhuvan University,Master of Education in Economics Education Master of Education in Geography Education (M.Ed) Master of Education in Health Education (M.Ed) Master of Education in History Education (M.Ed) Master of Education in Physical Education (M.Ed) MEd in Political Science Education Master of Education in Population Education (M.Ed) MEd in Science Education Bachelor of Special Needs Education (B.Ed. SNE) Master of Social Studies Education (MSSEd) MEd Special Needs Education,constituent Institution,"01-4331337, 01-433322",info@tucded.edu.np,34,2,516
Nepal Law Campus,"Exhibition Road, Kathmandu",Tribhuvan University,Bachelor of Arts Bachelor of Laws (BALLB) Bachelor of Laws (LLB) Three Years LLM Master of Laws (LLM),constituent Institution,01-4225358,info@nlc.edu.np,34,2,326
Pashchimanchal Campus | Institute of Engineering,"Lamachaur, Pokhara, Pokhara Lekhnath, Kaski",Tribhuvan University,Bachelor of Electronics Communication and Information Engineering (BE) Bachelor of Computer Engineering (BE) Bachelor's Degree in Geomatics Engineering Bachelor of Electrical Engineering (BE) Bachelor of Mechanical Engineering (BE) MSc in Communication and Knowledge Engineering MSc in Electrical Engineering in Distributed Generation MSc in Infrastructure Engineering and Management Bachelor of Civil Engineering (BE Civil) MSc in Rock and Tunnel Engineering MSc in Geospatial Engineering Bachelor in Automobile Engineering,constituent Institution,"061-440457 , 061-440465 , 061-440463 , 061-440093",info@wrc.edu.np,34,2,557
Central Department of Population Studies | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,MA in Population Studies PhD in Population Studies MPhil in Population Studies,constituent Institution,977-1-331323,cdps@wlink.com.np,34,2,515
Thapathali Campus | Institute of Engineering,"Thapathali, Kathmandu",Tribhuvan University,Bachelor in Industrial Engineering (BE) Bachelor of Electronics Communication and Information Engineering (BE) Bachelor of Civil Engineering (BE Civil) Bachelor of Architecture (B.Arch) ​MSc Mechanical Engineering in Design and Manufacturing MSc Earthquake Engineering Bachelor in Automobile Engineering Bachelor of Mechanical Engineering (BE) Bachelor of Computer Engineering (BE) MSc in Informatics and Intelligent Systems Engineering,constituent Institution,"01-4246465, 01-4246307",info@thapathalicampus.edu.np,34,2,932
Amrit Science Campus,"Lainchaur, Kathmandu",Tribhuvan University,BSc Computer Science and Information Technology (BSc CSIT) MSc Physics BSc Environmental Science BSc Microbiology BSc Physics MSc in Mathematics MSc in Botany MSc Chemistry Bachelors in Information Technology (BIT) BSc Botany BSc Chemistry BSc Mathematics BSc Statistics BSc Zoology MSc Zoology Master of Information Technology (MIT),constituent Institution,"01-4411637, 01-4410408",amritcampus@ntc.net.np,34,2,548
Central Department of Biotechnology | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,MSc Biotechnology PhD in Biotechnology,constituent Institution,01-4336221,info@biotechtu.edu.np,34,2,515
Central Department of Geology |  Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,PhD in Geology MSc Geology MSc Engineering Geology,constituent Institution,977-1-4332449,tugeology@iepl.com.np,34,2,515
"Central Department of Nepalese History, Culture and Archaeology | Tribhuvan University","University Campus, Kirtipur, Kathmandu",Tribhuvan University,MA Nepalese History Culture and Archaeology (MA NeHCA) PhD in Nepali Culture History and Archeology (PhD in NeHCA),constituent Institution,01-4331976,info@cdnehca.edu.np,34,2,962
"Masters Program in Labor Studies, Tribhuvan University","Kirtipur, Kathmandu",Tribhuvan University,MA in Labor Studies (MA Labor Studies),constituent Institution,,,34,2,515
Master's Program in Governance and Anticorruption Studies,"Kirtipur, Kathmandu",Tribhuvan University,MA Governance and Anticorruption Studies,constituent Institution,014333616,,34,2,515
Central Department of Sanskrit Studies | Tribhuvan University,"University Campus, Kirtipur, Kathmandu",Tribhuvan University,MA in Sanskrit (MA Sanskrit) Post Graduate Diploma in Yoga Science,constituent Institution,01 -4334272,info@sanskrittu.edu.np,34,2,962
Central Department of Home Science | Tribhuvan University,"Padma Kanya Multiple Campus Building, Bagbazar, Kathmandu",Tribhuvan University,MA in Home Science Post Graduate Diploma in Women Studies Post Graduate Diploma in Dietetics and Public Health Nutrition PhD in Home Science,constituent Institution,"01-4225209, 01-4246497",,34,2,691
Central Department of Library & Information Science | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,MA in Library Science,constituent Institution,01-4331316,info@cdlis.tu.edu.np,34,2,515
"Masters Program in Gender Studies, Tribhuvan University","Kirtipur, Kathmandu",Tribhuvan University,MA in Gender Studies,constituent Institution,014272128,ma.genderstudies@gmail.com,34,2,515
Open and Distance Education Centre - Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,Master of Educational Science in Digital Pedagogy (MES DP),constituent Institution,01-4335403,director@odec.tu.edu.np,34,2,515
Nepalese Army Institute of Health Sciences College of Nursing,"TCMH complex, Mahankalsthan, Kathmandu",Tribhuvan University,Bachelor of Nursing Science (BNS) BSc Nursing Master in Nursing,private Institution,"01-4220267, 01-4231042",con@naihs.edu.np,34,3,904
Nepalese Army Institute of Health Sciences,"Bhandarkhal, Sanobharyang, Kathmandu",Tribhuvan University,Bachelor in Medical Laboratory Technology (BMLT) Bachelor of Public Health (BPH) MS General Surgery MD Microbiology MD Clinical Physiology MD Clinical Pharmacology MD in Radio Diagnosis MD in Psychiatry MD in Ophthalmology MD in Obstetrics and Gynaecology MS Clinical Anatomy MD General Practice (MDGP) MS in Orthopaedic and Trauma Surgery MD Internal Medicine MD Dermatology MD Anaesthesiology MD Pathology MD Paediatrics MS Clinical Otorhinolaryngology and Head and Neck Surgery MBBS,private Institution,01-4881259,com@naihs.edu.np,34,3,125
B P Koirala Institute of Health Sciences,"Dharan, Sunsari",BPKIHS,DM Pulmonary Critical Care and Sleep Medicine DM Neonatology DM Gastroenterology and Hepatology DM Cardiology MCh Urosurgery Master in Dental Surgery (MDS) Bachelor in Perfusion Technology (B. Perf) Bachelor of Nursing Science in Midwifery (BNS MID) BSc Medical Laboratory Technology (B.Sc MLT) MD Hospital Administration MSc in Medical Biochemistry Bachelor of Dental Surgery (BDS) BSc Medical Imaging Technology (BSc MIT) BSc Nursing MSc in Medical Microbiology MBBS Master of Public Health (MPH) MS Human Anatomy MD Biochemistry MD Community Medicine and Tropical Diseases MD Forensic Medicine and Toxicology MD Pharmacology MD in Basic and Clinical Physiology MD Microbiology and Infectious Diseases MD Pathology MD Anaesthesiology and Critical Care Medicine MD Dermatology and STD MD Gynecology and Obstetrics MD General Practice and Emergency Medicine MD Internal Medicine MD Ophthalmology MS Orthopedics MS Otorhinolaryngology and Head & Neck Surgery MD Pediatrics MD Psychiatry MD Radiodiagnosis and Imaging MS Surgery,public Institution,"977-25-525555 (Ext: 4017,2278)",academic@bpkihs.edu,5,4,291
School of Mathematical Sciences | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,Bachelor in Mathematical Sciences (Actuarial Science) (BMathSc) Master in Data Science (MDS),public Institution,,info@sms.tu.edu.np,34,4,515
School of Medicine | Patan Academy of Health Sciences,"Lagankhel, Lalitpur",Patan Academy of Health Sciences,MD Anaesthesiology MD Dermatology MD Pathology MBBS MD in General Practice and Emergency Medicine (MDGP) MS General surgery MS Orthopedics MD Pediatrics MS in Otorhinolaryngology (ENT) MD in Psychiatry MD in Radiology and Imaging MD Obstetrics Gynaecology MD Internal Medicine,public Institution,"01-5545112, 01-5545153",pahs@pahs.edu.np,27,4,546
Kathmandu University School of Medical Sciences,"Dhulikhel, Kavrepalanchok",Kathmandu University,Master of Physiotherapy (MPT) MS in Orthopedics (MS Orthopedics) MD in Psychiatry MS Anatomy Master in Nursing (MSc N) DM Cardiology MCh GI Surgery MCh Urology MSc in Pharmacology MSc Anatomy MDS Oral Pathology MDS Orthodontics MD Forensic Medicine MD Physiology MD Pharmacology MD Paediatrics MD Obstetrics and Gynaecology MDS Periodontics MDS Prosthodontics MSc in Midwifery (MSc MID) Bachelor of Midwifery (BMID) BSc Medical Imaging Technology (BScMIT) MSc in Public Health (Epidemiology/Global Health) (MSc PH) MS Otorhinolaryngology MS General Surgery MS Ophthalmology MD Dermatology MD Anaesthesiology MD Radio Diagnosis MD Pathology MD Internal Medicine MD Community Medicine Bachelor of Physiotherapy (BPT) Bachelor in Nursing Science (BNS) BSc Laboratory Medicine Bachelor of Dental Surgery (BDS) MBBS BSc Nursing MD General Practice (MDGP),public Institution,"011-490497, 011-490290",kusms@ku.edu.np,17,4,301
Nepal Mountain Academy,"Thapagaun, Bijulibazar, Kathmandu",Tribhuvan University,Bachelor of Mountaineering Studies (BMS) Master of Adventure Tourism Studies (MATS) Trekking Guide Training Ski Training Master of Science in Mountain and Mountaineering Science (MSc MMS),public Institution,"01-5244312, 01-5244888",parbatiya@gmail.com,34,4,930
School of  Medicine | Karnali Academy of Health Sciences,"Chandannath, Jumla",Karnali Academy of Health Sciences,Bachelor in Pharmacy (B.Pharm) MBBS MD/MS Clinical Science,public Institution,"087-520115,  087- 520355",info@kahs.edu.np,16,4,217
Thakur Ram Multiple Campus,"Birgunj, Parsa",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Science (General) (BSc) Bachelor of Education (BEd) MA in Political Science (MA Political Science) MA in Population Studies Master of Business Studies (MBS) Bachelor of Business Administration (BBA) Bachelors in Information Technology (BIT),constituent Institution,"051-522187,  051-522140",,34,2,178
Dhawalagiri Multiple Campus,Baglung,Tribhuvan University,Bachelor of Education (BEd) Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Science (General) (BSc) Master of Business Studies (MBS) Master of Education General (M.Ed) Bachelor of Business Administration (BBA),constituent Institution,"068-520113, 068-521384",dmcbaglung@gmail.com,34,2,41
Saraswati Multiple Campus,"Lekhnath Marg, Thamel, Kathmandu",Tribhuvan University,Bachelor of Computer Application (BCA) Bachelor of Business Administration (BBA) Bachelor of Business Management (BBM) Bachelor of Arts (BA) Bachelor of Hotel Management (BHM) Bachelor of Arts in Social Work (BASW) Bachelor of Business Studies (BBS) MA in English (MA English) MA in Sociology Master of Business Studies (MBS) MA in Nepali (MA Nepali) Master of Business Management (MBM) MA in Economics (MA Economics) Bachelor Degree in Social Work (BSW),constituent Institution,"01-4412272 , 01-4411971",campussaraswati@gmail.com,34,2,567
Prithvi Narayan Campus,"Bagar, Pokhara, Pokhara Lekhnath, Kaski",Tribhuvan University,Bachelor of Business Administration (BBA) MSc Physics MA in Political Science (MA Political Science) Bachelor of Laws (LLB) MA in Nepali (MA Nepali) MA in Sociology MA in Population Studies Bachelor of Education (BEd) MA in English (MA English) MA in Economics (MA Economics) Bachelor of Arts Bachelor of Laws (BALLB) Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Master of Business Studies (MBS) MA in History (MA History) BSc Microbiology MA in Geography (MA Geography) MSc in Mathematics MEd in English Language Education MEd Nepali Language Education MEd Education Planning and Management MEd Curriculum and Evaluation Master of Education in Economics Education Master of Education in Health Education (M.Ed) Masters of Education in Mathematics Education Master of Public Administration (MPA) BSc Computer Science and Information Technology (BSc CSIT) Bachelor of Public Administration (BPA) MSc Chemistry Bachelor of Science (General) (BSc) MA in Anthropology (MA Anthropology) Bachelor of Computer Application (BCA) Bachelor Degree in Social Work (BSW),constituent Institution,061-526837,info@pncampus.edu.np,34,2,38
"Mahendra Multiple Campus, Dang","Ghorahi, Dang",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Bachelor of Science (General) (BSc) MA in Nepali (MA Nepali) MA in English (MA English) MA in Political Science (MA Political Science) Bachelor of Business Administration (BBA) Master of Business Studies (MBS) BSc Computer Science and Information Technology (BSc CSIT),constituent Institution,082-560035,,34,2,366
Ramsworup Ramsagar Multiple Campus,"Janakpur, Dhanusha",Tribhuvan University,Master of Business Studies (MBS) MA in Economics (MA Economics) Bachelor of Arts (BA) Bachelor of Education (BEd) Bachelor of Business Studies (BBS) MA in Nepali (MA Nepali) MA in Political Science (MA Political Science) BSc Computer Science and Information Technology (BSc CSIT) MA in Population Studies Bachelor of Business Administration (BBA) MSc in Mathematics Bachelors in Information Technology (BIT),constituent Institution,041-520174,,34,2,429
